unix,player_elo,opp_elo,opp_name,opp_30d,elo_diff,color,player_acc,opp_acc,acc_diff,won,num_reque,time_since_prev,opp_num_reque,opp_time_since_prev
1696274149,1076,1099,gardemarine,113,-23,True,71.77,79.3,-7.530000000000001,0.0,6,683,0,7832
1696274496,1069,1104,Ametaka,268,-35,True,82.29,93.01,-10.719999999999999,0.0,7,347,4,348
1696274776,1062,1042,sauciers,288,20,True,81.84,61.51,20.330000000000005,1.0,8,280,1,685
1696274965,1070,1084,ziggymoon1,69,-14,False,68.05,100.0,-31.950000000000003,0.0,9,189,0,82974
1696275760,1062,1064,mokkamaster,163,-2,False,69.18,76.14,-6.959999999999994,0.0,10,795,0,3551
1696275895,1054,1044,Deadshotfuture,18,10,False,77.37,61.11,16.260000000000005,1.0,11,135,0,93789
1696276145,1062,1036,SofianeGoatesque,105,26,True,74.48,56.97,17.510000000000005,1.0,12,250,3,239
1696277095,1069,1087,Jinks94,259,-18,True,71.72,65.45,6.269999999999996,1.0,13,950,0,20973
1696278162,1077,1098,knodr7x,404,-21,False,79.19,84.19,-5.0,0.0,14,1067,2,1151
1696278348,1069,1118,lordovtheflies,70,-49,False,80.65,98.04,-17.39,0.0,15,186,3,161
1696279400,1062,1110,cezaryprofit,85,-48,True,62.72,71.21,-8.489999999999995,,16,1052,1,1181
1696280217,1063,1096,arjobhatta,334,-33,False,57.64,53.78,3.8599999999999994,1.0,17,817,1,819
1696283059,1072,1073,stijnkoornneef,25,-1,True,83.82,81.6,2.219999999999999,1.0,0,2842,1,1153
1696284198,1080,1134,hugocaserta,35,-54,True,73.82,70.91,2.9099999999999966,1.0,1,1139,0,1281
1696284818,1089,1081,sertanero,170,8,False,67.47,71.26,-3.7900000000000063,1.0,2,620,1,707
1696286448,1097,1074,dovazar,50,23,False,76.44,80.2,-3.760000000000005,0.0,0,1630,0,3663
1696287269,1088,1129,Tmsklimster,160,-41,False,74.9,63.64,11.260000000000005,1.0,1,821,1,1063
1696288599,1097,1237,Ehabbody,177,-140,False,68.19,60.92,7.269999999999996,1.0,0,1330,0,1282
