player_name,opp_name,player_elo,opp_elo,elo_diff,color,x-ma5,x-ma20,opp_x-ma5,opp_x-ma20,won
BIG_TONKA_T,AimingFor1700rating,1424,1435,-11,True,,,11.799999999999955,-16.15000000000009,0
BIG_TONKA_T,sthreadgill,1417,1465,-48,True,,,16.799999999999955,22.59999999999991,0
BIG_TONKA_T,sheng2020,1410,1449,-39,False,,,-3.0,1.900000000000091,1
BIG_TONKA_T,M7tron,1419,1506,-87,False,,,-12.0,-31.0,0
BIG_TONKA_T,macaphella,1413,1397,16,True,-3.599999999999909,,-13.0,-39.15000000000009,1
BIG_TONKA_T,yoousef100,1421,1381,40,False,5.0,,10.400000000000091,1.7999999999999545,1
BIG_TONKA_T,dstrmvrs,1428,1380,48,False,9.799999999999955,,12.0,11.549999999999955,0
BIG_TONKA_T,PedroHP98,1419,1425,-6,False,-1.0,,-0.599999999999909,-3.75,1
BIG_TONKA_T,VortexSonicX,1427,1489,-62,True,5.400000000000091,,10.599999999999909,50.75,1
BIG_TONKA_T,1Johnplayer1,1436,1403,33,True,9.799999999999955,,-10.0,-6.599999999999909,1
BIG_TONKA_T,nravi72,1443,1466,-23,False,12.400000000000091,,7.2000000000000455,25.799999999999955,0
BIG_TONKA_T,FancyFoal,1436,1479,-43,True,3.7999999999999545,,-12.400000000000091,-14.5,1
BIG_TONKA_T,robbaa22,1445,1457,-12,True,7.599999999999909,,-5.2000000000000455,-20.5,0
BIG_TONKA_T,PCuper,1437,1446,-9,False,-2.400000000000091,,16.59999999999991,33.5,1
BIG_TONKA_T,izzib13,1445,1491,-46,True,3.7999999999999545,,-3.400000000000091,-41.09999999999991,1
BIG_TONKA_T,bigpapa300,1454,1492,-38,True,10.599999999999909,,-0.599999999999909,-11.950000000000045,0
BIG_TONKA_T,johnthronson,1447,1401,46,True,1.400000000000091,,3.7999999999999545,4.650000000000091,1
BIG_TONKA_T,EdwardBHiriart,1454,1424,30,False,6.599999999999909,,-0.20000000000004547,-14.599999999999909,0
BIG_TONKA_T,chessfannnnn,1445,1434,11,False,-4.0,,-4.599999999999909,-28.90000000000009,1
BIG_TONKA_T,MedNef0,1453,1427,26,True,2.400000000000091,-6.650000000000091,7.0,-7.2999999999999545,0
BIG_TONKA_T,Huss855c,1444,1442,2,False,-4.599999999999909,7.349999999999909,15.400000000000091,72.95000000000005,0
BIG_TONKA_T,waleedtahir6,1436,1386,50,False,-10.400000000000091,-49.59999999999991,-3.400000000000091,-25.75,1
BIG_TONKA_T,JHH1953,1443,1415,28,True,-1.2000000000000455,-22.25,4.7999999999999545,5.400000000000091,0
BIG_TONKA_T,Al045,1434,1532,-98,True,-8.0,94.0,-4.7999999999999545,5.2999999999999545,0
