unix,player_name,opp_name,player_elo,opp_elo,elo_diff,player_acc,opp_acc,acc_diff,color,x-ma5,x-ma20,opp_x-ma5,opp_x-ma20,won,num_reque,time_since_prev,prev_acc,prev_x-ma5,prev_x-ma20
1696209557,BIG_TONKA_T,Hoaiarc,1092,1111,-19,56.02,57.17,-1.1499999999999986,True,-11.400000000000091,3.150000000000091,-1.599999999999909,15.150000000000091,0.0,13,128,58.33,-5.599999999999909,30.65000000000009
1696209906,BIG_TONKA_T,ochuckster123,1084,1067,17,60.85,71.34,-10.490000000000002,True,-15.0,-39.40000000000009,-1.599999999999909,-10.299999999999955,0.0,14,349,56.02,-11.400000000000091,3.150000000000091
1696211117,BIG_TONKA_T,SirKennard,1076,1101,-25,61.52,67.28,-5.759999999999998,False,-15.599999999999909,-3.2000000000000455,-5.400000000000091,-9.0,0.0,15,1211,60.85,-15.0,-39.40000000000009
1696211419,BIG_TONKA_T,Rick_woote,1069,1035,34,55.72,69.76,-14.040000000000006,True,-15.0,-66.25,13.399999999999977,5.900000000000091,0.0,16,302,61.52,-15.599999999999909,-3.2000000000000455
1696211842,BIG_TONKA_T,Callsign_Gimli,1060,1029,31,,,,False,-16.200000000000045,-69.25,-8.200000000000045,-21.5,1.0,17,423,55.72,-15.0,-66.25
1696212899,BIG_TONKA_T,zzyix,1067,1108,-41,76.94,74.95,1.9899999999999949,False,-4.2000000000000455,12.0,-15.400000000000091,-34.299999999999955,,18,1057,,-16.200000000000045,-69.25
1696213424,BIG_TONKA_T,RedscareRAM,1068,1102,-34,72.39,82.08,-9.689999999999998,False,0.0,7.7999999999999545,-0.599999999999909,-0.20000000000004547,0.0,19,525,76.94,-4.2000000000000455,12.0
1696214256,BIG_TONKA_T,Alex-Sokol,1061,1057,4,44.29,57.84,-13.550000000000004,True,-4.0,-34.75,9.200000000000045,15.200000000000045,0.0,20,832,72.39,0.0,7.7999999999999545
1696214768,BIG_TONKA_T,ejonokuchi,1053,1025,28,51.02,59.5,-8.479999999999997,False,-8.799999999999955,-64.29999999999995,-3.0,5.399999999999977,0.0,21,512,44.29,-4.0,-34.75
1696214957,BIG_TONKA_T,EasyRider3202,1044,1006,38,76.72,90.23,-13.510000000000005,True,-14.599999999999909,-79.95000000000005,16.399999999999977,47.60000000000002,0.0,22,189,51.02,-8.799999999999955,-64.29999999999995
1696215254,BIG_TONKA_T,instant_10,1035,941,94,54.83,62.0,-7.170000000000002,True,-17.200000000000045,-141.5,9.200000000000045,7.2999999999999545,0.0,23,297,76.72,-14.599999999999909,-79.95000000000005
1696215554,BIG_TONKA_T,Ysulai,1025,1104,-79,65.16,71.21,-6.049999999999997,False,-18.59999999999991,25.049999999999955,16.40000000000009,6.900000000000091,0.0,24,300,54.83,-17.200000000000045,-141.5
1696216300,BIG_TONKA_T,JohannFehrmann,1019,1010,9,79.31,73.51,5.799999999999997,True,-16.200000000000045,-64.70000000000005,-13.200000000000045,-4.7000000000000455,1.0,25,746,65.16,-18.59999999999991,25.049999999999955
1696216817,BIG_TONKA_T,Ek3498,1027,1049,-22,81.75,71.81,9.939999999999998,True,-3.0,-21.40000000000009,6.7999999999999545,26.799999999999955,1.0,26,517,79.31,-16.200000000000045,-64.70000000000005
1696217180,BIG_TONKA_T,georgemetcalf22,1036,1057,-21,90.39,76.96,13.430000000000007,False,7.599999999999909,-9.950000000000045,4.7999999999999545,-26.200000000000045,1.0,27,363,81.75,-3.0,-21.40000000000009
1696218344,BIG_TONKA_T,Rotorhead64,1044,1036,8,77.55,64.03,13.519999999999996,True,13.799999999999955,-28.25,10.200000000000045,30.799999999999955,1.0,28,1164,90.39,7.599999999999909,-9.950000000000045
1696219201,BIG_TONKA_T,defeatlazydoor,1052,1048,4,89.07,73.6,15.469999999999999,False,16.40000000000009,-13.549999999999955,-6.400000000000091,8.549999999999955,1.0,29,857,77.55,13.799999999999955,-28.25
1696220379,BIG_TONKA_T,karthikpan,1060,1072,-12,71.9,67.93,3.969999999999999,False,16.200000000000045,13.099999999999909,-1.400000000000091,-18.40000000000009,,30,1178,89.07,16.40000000000009,-13.549999999999955
1696220633,BIG_TONKA_T,OrangPeeler,1060,1094,-34,76.2,72.4,3.799999999999997,True,9.599999999999909,37.450000000000045,1.7999999999999545,1.900000000000091,1.0,31,254,71.9,16.200000000000045,13.099999999999909
1696221064,BIG_TONKA_T,jackpotbrandon,1069,1094,-25,77.82,70.51,7.309999999999988,False,12.0,38.950000000000045,2.2000000000000455,5.650000000000091,1.0,32,431,76.2,9.599999999999909,37.450000000000045
1696221474,BIG_TONKA_T,Pseudonym20,1078,1075,3,81.96,65.96,16.0,True,14.200000000000045,20.65000000000009,9.200000000000045,,1.0,33,410,77.82,12.0,38.950000000000045
1696222073,BIG_TONKA_T,GeorgeLamponi,1086,1047,39,58.76,67.92,-9.160000000000004,True,15.400000000000091,-7.4500000000000455,0.599999999999909,-18.65000000000009,0.0,34,599,81.96,14.200000000000045,20.65000000000009
1696222430,BIG_TONKA_T,aleksandrstrilnyk,1077,987,90,59.03,55.53,3.5,False,3.0,-67.5,10.399999999999977,10.549999999999955,1.0,35,357,58.76,15.400000000000091,-7.4500000000000455
1696222687,BIG_TONKA_T,Deejai1220,1083,1100,-17,74.66,75.28,-0.6200000000000045,False,4.400000000000091,44.799999999999955,-10.0,-3.7999999999999545,1.0,36,257,59.03,3.0,-67.5
1696223677,BIG_TONKA_T,morethancipher,1091,962,129,46.67,45.82,0.8500000000000014,True,8.0,-94.75,13.0,4.2000000000000455,1.0,37,990,74.66,4.400000000000091,44.799999999999955
1696224702,BIG_TONKA_T,ClarkGriswald,1096,1123,-27,69.72,67.79,1.9299999999999926,False,9.400000000000091,64.79999999999995,-2.400000000000091,-4.150000000000091,1.0,38,1025,46.67,8.0,-94.75
1696270843,BIG_TONKA_T,ToplessChess11,1105,1152,-47,64.6,93.1,-28.5,True,14.599999999999909,91.95000000000005,-10.400000000000091,-25.299999999999955,0.0,0,46141,69.72,9.400000000000091,64.79999999999995
1696271907,BIG_TONKA_T,gokselur,1098,1125,-27,70.85,77.51,-6.660000000000011,True,3.400000000000091,63.09999999999991,-12.200000000000045,-32.09999999999991,0.0,1,1064,64.6,14.599999999999909,91.95000000000005
1696272169,BIG_TONKA_T,yellowmoose,1091,1124,-33,58.42,77.34,-18.92,False,-5.2000000000000455,60.200000000000045,4.2000000000000455,1.599999999999909,0.0,2,262,70.85,3.400000000000091,63.09999999999991
1696272204,BIG_TONKA_T,P3rs0Nwastaken,1084,1089,-5,91.02,52.55,38.47,True,-10.799999999999955,23.200000000000045,-8.400000000000091,15.450000000000045,1.0,3,35,58.42,-5.2000000000000455,60.200000000000045
1696272863,BIG_TONKA_T,nikhil6hama,1092,1113,-21,69.89,79.31,-9.420000000000002,False,-2.0,44.34999999999991,1.599999999999909,-4.0,0.0,4,659,91.02,-10.799999999999955,23.200000000000045
1696273466,BIG_TONKA_T,Wickrama,1084,1102,-18,71.58,77.9,-6.320000000000007,False,-5.7999999999999545,30.40000000000009,-12.400000000000091,-11.700000000000045,0.0,5,603,69.89,-2.0,44.34999999999991
1696274149,BIG_TONKA_T,gardemarine,1076,1099,-23,71.77,79.3,-7.530000000000001,True,-9.400000000000091,24.549999999999955,12.400000000000091,7.0,0.0,6,683,71.58,-5.7999999999999545,30.40000000000009
1696274496,BIG_TONKA_T,Ametaka,1069,1104,-35,82.29,93.01,-10.719999999999999,True,-12.0,27.450000000000045,6.599999999999909,4.849999999999909,0.0,7,347,71.77,-9.400000000000091,24.549999999999955
1696274776,BIG_TONKA_T,sauciers,1062,1042,20,81.84,61.51,20.330000000000005,True,-14.599999999999909,-35.84999999999991,-14.799999999999955,-14.049999999999955,1.0,8,280,82.29,-12.0,27.450000000000045
1696274965,BIG_TONKA_T,ziggymoon1,1070,1084,-14,68.05,100.0,-31.950000000000003,False,-2.2000000000000455,4.849999999999909,-3.2000000000000455,-23.65000000000009,0.0,9,189,81.84,-14.599999999999909,-35.84999999999991
1696275760,BIG_TONKA_T,mokkamaster,1062,1064,-2,69.18,76.14,-6.959999999999994,False,-5.7999999999999545,-15.650000000000091,-3.599999999999909,-29.049999999999955,0.0,10,795,68.05,-2.2000000000000455,4.849999999999909
1696275895,BIG_TONKA_T,Deadshotfuture,1054,1044,10,77.37,61.11,16.260000000000005,False,-9.400000000000091,-35.34999999999991,11.799999999999955,,1.0,11,135,69.18,-5.7999999999999545,-15.650000000000091
1696276145,BIG_TONKA_T,SofianeGoatesque,1062,1036,26,74.48,56.97,17.510000000000005,True,0.0,-43.450000000000045,4.2000000000000455,1.400000000000091,1.0,12,250,77.37,-9.400000000000091,-35.34999999999991
1696277095,BIG_TONKA_T,Jinks94,1069,1087,-18,71.72,65.45,6.269999999999996,True,5.599999999999909,7.5499999999999545,-10.200000000000045,-17.700000000000045,1.0,13,950,74.48,0.0,-43.450000000000045
1696278162,BIG_TONKA_T,knodr7x,1077,1098,-21,79.19,84.19,-5.0,False,12.200000000000045,18.59999999999991,-10.0,1.75,0.0,14,1067,71.72,5.599999999999909,7.5499999999999545
1696278348,BIG_TONKA_T,lordovtheflies,1069,1118,-49,80.65,98.04,-17.39,False,2.7999999999999545,39.450000000000045,-3.400000000000091,10.150000000000091,0.0,15,186,79.19,12.200000000000045,18.59999999999991
1696279400,BIG_TONKA_T,cezaryprofit,1062,1110,-48,62.72,71.21,-8.489999999999995,True,-5.7999999999999545,32.200000000000045,15.599999999999909,21.0,,16,1052,80.65,2.7999999999999545,39.450000000000045
1696280217,BIG_TONKA_T,arjobhatta,1063,1096,-33,57.64,53.78,3.8599999999999994,False,-5.0,19.200000000000045,-0.599999999999909,4.25,1.0,17,817,62.72,-5.7999999999999545,32.200000000000045
1696283059,BIG_TONKA_T,stijnkoornneef,1072,1073,-1,83.82,81.6,2.219999999999999,True,3.400000000000091,-2.849999999999909,15.0,15.400000000000091,1.0,0,2842,57.64,-5.0,19.200000000000045
1696284198,BIG_TONKA_T,hugocaserta,1080,1134,-54,73.82,70.91,2.9099999999999966,True,10.799999999999955,58.950000000000045,-11.200000000000045,-12.049999999999955,1.0,1,1139,83.82,3.400000000000091,-2.849999999999909
